"design_condition_id","rep_tier","profile","ICC_y","J","nbar","ICC_x","rho_PV","M","leg","R","meanW","biasW","covW","covW_lo","covW_hi","meanB","biasB","covB","covB_lo","covB_hi","mcseW","mcseB"
"T2-c6","mainstream","USA",0.2,200,10,0.15,0.9,10,"bayes_a",100,0.400022558033097,2.25580330974751e-05,0.99,0.945513803250993,0.998232567955391,0.612533942683242,0.0125339426832416,0.96,0.901629285015279,0.984336696117245,0.00232598228530015,0.00917502563969361
"T2-c6","mainstream","USA",0.2,200,10,0.15,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
"T2-c6","mainstream","USA",0.2,200,10,0.15,0.9,10,"c_direct",100,0.399989240520225,-1.07594797750798e-05,0.98,0.929988208682425,0.994498032499338,0.612629317241375,0.0126293172413749,0.92,0.850018922307228,0.958906538726815,0.00232769485858291,0.00916325055309988
"T2-c6","mainstream","USA",0.2,200,10,0.15,0.9,10,"freq_per_pv",100,0.400007014314583,7.01431458299817e-06,0.99,0.945513803250993,0.998232567955391,0.61261133298552,0.0126113329855196,0.96,0.901629285015279,0.984336696117245,0.0023263367759735,0.00917355075453861
"T2-c7","mainstream","USA",0.2,200,30,0.15,0.9,10,"bayes_a",100,0.401814953568663,0.00181495356866251,1,0.963006501231004,1,0.599645605313568,-0.000354394686431614,0.97,0.915480635101425,0.989745476055719,0.00125016820728536,0.00915393664298132
"T2-c7","mainstream","USA",0.2,200,30,0.15,0.9,10,"freq_per_pv",100,0.401812329593045,0.00181232959304528,1,0.963006501231004,1,0.59964518110966,-0.000354818890339614,0.96,0.901629285015279,0.984336696117245,0.001248843072406,0.00915109428844557
"T2-c7","mainstream","USA",0.2,200,30,0.15,0.9,10,"c_direct",100,0.401819792366975,0.00181979236697505,0.99,0.945513803250993,0.998232567955391,0.599906246887778,-9.37531122223723e-05,0.97,0.915480635101425,0.989745476055719,0.00124658603894629,0.009116421908069
"T2-c7","mainstream","USA",0.2,200,30,0.15,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
"T3-c1","mainstream","USA",0.2,200,20,0.15,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
"T3-c1","mainstream","USA",0.2,200,20,0.15,0.9,10,"c_direct",100,0.39891329831935,-0.00108670168065017,0.94,0.875231844883911,0.972213876199372,0.60687689901871,0.00687689901871047,0.95,0.888249530125895,0.978456320982008,0.00201879636590036,0.00937625436067479
"T3-c1","mainstream","USA",0.2,200,20,0.15,0.9,10,"freq_per_pv",100,0.39888332973247,-0.00111667026752954,0.98,0.929988208682425,0.994498032499338,0.606965353678909,0.00696535367890927,0.96,0.901629285015279,0.984336696117245,0.00201741878354586,0.00935408706563452
"T3-c1","mainstream","USA",0.2,200,20,0.15,0.9,10,"bayes_a",100,0.39888536365982,-0.00111463634018,0.98,0.929988208682425,0.994498032499338,0.60697710098031,0.00697710098031001,0.96,0.901629285015279,0.984336696117245,0.00201738614252851,0.00935742862968183
"T3-c3","mainstream","USA",0.2,100,20,0.3,0.9,10,"c_direct",100,0.40320092896565,0.00320092896565,0.94,0.875231844883911,0.972213876199372,0.587180821762087,-0.0128191782379129,0.96,0.901629285015279,0.984336696117245,0.00281977566931754,0.00992456811789881
"T3-c3","mainstream","USA",0.2,100,20,0.3,0.9,10,"bayes_a",100,0.403216779951782,0.00321677995178243,0.95,0.888249530125895,0.978456320982008,0.586315778959428,-0.0136842210405723,0.96,0.901629285015279,0.984336696117245,0.00281826373000228,0.0098837871220343
"T3-c3","mainstream","USA",0.2,100,20,0.3,0.9,10,"freq_per_pv",100,0.403209698553833,0.00320969855383346,0.95,0.888249530125895,0.978456320982008,0.586533806240993,-0.0134661937590067,0.96,0.901629285015279,0.984336696117245,0.00281832337807083,0.00990062628531284
"T3-c3","mainstream","USA",0.2,100,20,0.3,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
"T3-c4","mainstream","KOR",0.45,100,20,0.15,0.9,10,"freq_per_pv",100,0.401144039397302,0.00114403939730212,0.96,0.901629285015279,0.984336696117245,0.594918193052015,-0.00508180694798543,0.98,0.929988208682425,0.994498032499338,0.00267047969755832,0.0196438943621339
"T3-c4","mainstream","KOR",0.45,100,20,0.15,0.9,10,"bayes_a",100,0.40113658366651,0.00113658366650998,0.96,0.901629285015279,0.984336696117245,0.594982859671837,-0.00501714032816336,0.98,0.929988208682425,0.994498032499338,0.00267151587996914,0.0196889356335416
"T3-c4","mainstream","KOR",0.45,100,20,0.15,0.9,10,"c_direct",100,0.401193756592175,0.00119375659217497,0.95,0.888249530125895,0.978456320982008,0.593627300700575,-0.00637269929942541,0.98,0.929988208682425,0.994498032499338,0.00267405810465669,0.0196733572933028
"T3-c4","mainstream","KOR",0.45,100,20,0.15,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
"T4-c1","F-tail","KOR",0.45,50,20,0.3,0.9,10,"freq_per_pv",400,0.400969367323818,0.000969367323817527,0.9875,0.971076263625232,0.994649249253909,0.605467656558637,0.00546765655863701,0.9375,0.909365883611727,0.957310858715707,0.00196191377683063,0.0119092699394508
"T4-c1","F-tail","KOR",0.45,50,20,0.3,0.9,10,"c_direct",400,0.40095703939315,0.00095703939314995,0.98,0.961036584035596,0.989831613260789,0.605831359730822,0.00583135973082227,0.95,0.924036364693385,0.967402570271975,0.00196224694476798,0.0119116350340048
"T4-c1","F-tail","KOR",0.45,50,20,0.3,0.9,10,"oracle",400,0.4,0,1,0.990487705517067,1,0.6,0,1,0.990487705517067,1,0,0
"T4-c1","F-tail","KOR",0.45,50,20,0.3,0.9,10,"bayes_a",400,0.400973885226203,0.000973885226203286,0.9875,0.971076263625232,0.994649249253909,0.605426917817148,0.00542691781714821,0.945,0.918132551942859,0.963401505967331,0.00196167790845208,0.0119122667259667
"T4-c3","sensitivity","USA",0.2,100,20,0.15,0.85,5,"freq_per_pv",200,0.400151146903588,0.00015114690358814,0.99,0.964278237973265,0.997253341891151,0.59991361019836,-8.63898016398856e-05,0.97,0.936105707190366,0.986179685740808,0.00175945986652257,0.00863594378142528
"T4-c3","sensitivity","USA",0.2,100,20,0.15,0.85,5,"c_direct",200,0.400180262196025,0.000180262196025016,0.975,0.942821659248345,0.98927528041614,0.600338060115833,0.000338060115833372,0.965,0.929529388113122,0.982944458084742,0.00175918546782219,0.00860780778229323
"T4-c3","sensitivity","USA",0.2,100,20,0.15,0.85,5,"bayes_a",200,0.40016923676815,0.000169236768150005,0.99,0.964278237973265,0.997253341891151,0.59989281806444,-0.000107181935559697,0.975,0.942821659248345,0.98927528041614,0.00176033070170127,0.00862597964571484
"T4-c3","sensitivity","USA",0.2,100,20,0.15,0.85,5,"oracle",200,0.4,0,1,0.981154673331037,1,0.6,0,1,0.981154673331037,1,0,0
"T4-c4","sensitivity","USA",0.2,100,20,0.15,0.85,20,"freq_per_pv",200,0.401001515196093,0.00100151519609309,0.99,0.964278237973265,0.997253341891151,0.613294282227266,0.0132942822272658,0.95,0.91042185147139,0.972617354526543,0.00168877430728006,0.00950536601043975
"T4-c4","sensitivity","USA",0.2,100,20,0.15,0.85,20,"oracle",200,0.4,0,1,0.981154673331037,1,0.6,0,1,0.981154673331037,1,0,0
"T4-c4","sensitivity","USA",0.2,100,20,0.15,0.85,20,"bayes_a",200,0.400992753177897,0.000992753177896877,0.99,0.964278237973265,0.997253341891151,0.613336250923587,0.0133362509235871,0.95,0.91042185147139,0.972617354526543,0.00168888984847982,0.00951302914569735
"T4-c4","sensitivity","USA",0.2,100,20,0.15,0.85,20,"c_direct",200,0.400996069236538,0.0009960692365375,0.98,0.949712912759955,0.99219557363784,0.613320609462317,0.0133206094623171,0.945,0.904213000830331,0.969014658434292,0.00168638304028986,0.0095393158538349
